==========================================================================
                  TABLA GENERAL DEL TORNEO (ACUMULADO)                    
==========================================================================
Total Partidas Procesadas: 2 (aprox)
Equipos Totales: 69

----------------------------------------------------------------------------------------------------
| RANK | EQUIPO                                             | TOTAL PTS  | KILLS  | PROM. TOP  |
----------------------------------------------------------------------------------------------------
| #1    | GoToLinkedInBro & Jangel18_FJT                     | 75         | 9      | #12.5      |
| #2    | Bean pizza & Hillfor3ver                           | 60         | 10     | #1.0       |
| #3    | J c o f f & jackcraft1909                          | 59         | 10     | #2.0       |
| #4    | CombatBrush861 & FancyGolf905                      | 56         | 8      | #1.0       |
| #5    | IcC_magic & Zachy.mp4                              | 54         | 9      | #5.0       |
| #6    | chivotx & Scooby-Wit-Rizz                          | 49         | 9      | #10.0      |
| #7    | BoxedUp4life & Envy Gabriel149                     | 49         | 6      | #4.0       |
| #8    | Cliffisqt & thick McNugget                         | 49         | 5      | #2.0       |
| #9    | GerardoXD1350 & Jhonnytururu                       | 47         | 6      | #6.0       |
| #10   | MateoMatt2512 & 特富埃ᴰᵉᵐᵒⁿ                           | 47         | 5      | #4.0       |
| #11   | Koeqsssss & woonzgunzzz__                          | 46         | 4      | #3.0       |
| #12   | Chimis-PV & ramon-pumas2011                        | 46         | 4      | #3.0       |
| #13   | CloudKhan & LFCC_27                                | 43         | 6      | #10.0      |
| #14   | a2theizzO2 & jordanboss23                          | 42         | 4      | #7.0       |
| #15   | ElMentadolll & im HyxGa                            | 42         | 3      | #5.0       |
| #16   | CapHarold & REX-PUMATRIEX                          | 40         | 4      | #9.0       |
| #17   | JonathanM14_0 & Virgil086373                       | 40         | 3      | #7.0       |
| #18   | guysan6891 & The CeeZee                            | 37         | 4      | #12.0      |
| #19   | adricots & kygotkicks                              | 36         | 3      | #11.0      |
| #20   | BallinBoy43 & Justintamezs                         | 35         | 4      | #14.0      |
| #21   | BaloneyNips7180 & GlokkCrew                        | 34         | 6      | #19.0      |
| #22   | peztheact1vst & wyarxcky                           | 34         | 3      | #13.0      |
| #23   | Javier Sgv & LvHx4ny                               | 34         | 1      | #9.0       |
| #24   | africanbaby6969 & temp-7866253                     | 31         | 4      | #18.0      |
| #25   | Kramdaddy15 & snakes1514                           | 30         | 2      | #15.0      |
| #26   | Khalelneitor & W3rtycan                            | 29         | 4      | #20.0      |
| #27   | L30 AB & tavochpi                                  | 29         | 2      | #16.0      |
| #28   | qtz5221 & Young_duhh65                             | 28         | 2      | #17.0      |
